JobID,Network Id,Existing 035a,Incoming 035a,Action
CEF_1012688_1748084545832::bib::710551,991502485205151,268789899,268789899,match
CEF_1012688_1748084545832::bib::712225,992855903405151,477621404,1056485266,match
CEF_1012688_1748084545832::bib::713255,992861997305151,681535106,681535106,match
CEF_1012688_1748084545832::bib::714415,991464941405151,28509398,28509398,match
CEF_1012688_1748084545832::bib::71454,994538413505151,25196849,25196849,match
CEF_1012688_1748084545832::bib::715803,991634221405151,359890468,359890468,match
CEF_1012688_1748084545832::bib::720478,994282739305151,21444207,21444207,match
CEF_1012688_1748084545832::bib::722624,992869518105151,31463712,31463712,match
CEF_1012688_1748084545832::bib::724811,992865405905151,1044193966,176566841,match
CEF_1012688_1748084545832::bib::726613,992874855805151,884004196,884004196,match
CEF_1012688_1748084545832::bib::728233,991640763605151,16471929,16471929,match
CEF_1012688_1748084545832::bib::729750,992872002305151,17958748,17958748,match
CEF_1012688_1748084545832::bib::731548,992851950105151,1006775888,1006775888,match
CEF_1012688_1748084545832::bib::734298,992857775105151,31421250,31421250,match
CEF_1012688_1748084545832::bib::736324,992853972905151,31905063,31905063,match
CEF_1012688_1748084545832::bib::73823,994538413405151,144604754,144604754,match
CEF_1012688_1748084545832::bib::739767,992087619705151,31707119,31707119,match
CEF_1012688_1748084545832::bib::742600,992861377905151,29240585,29240585,match
CEF_1012688_1748084545832::bib::743633,991615878305151,15591267,15591267,match
CEF_1012688_1748084545832::bib::745035,992135789305151,14932932,14932932,match
CEF_1012688_1748084545832::bib::747060,992856813205151,64400740,64400740,match
CEF_1012688_1748084545832::bib::750165,992881088605151,1084970493,1084970493,match
CEF_1012688_1748084545832::bib::750977,992885773405151,1044020778,1096473040,match
CEF_1012688_1748084545832::bib::752189,991766612005151,16045760,16045760,match
CEF_1012688_1748084545832::bib::756370,992872094305151,34533230,34533230,match
CEF_1012688_1748084545832::bib::759732,991575103305151,30456855,30456855,match
CEF_1012688_1748084545832::bib::760765,991962257305151,15639889,15639889,match
CEF_1012688_1748084545832::bib::761545,991613715205151,10106191,10106191,match
CEF_1012688_1748084545832::bib::762512,992879520505151,20343717,20343717,match
CEF_1012688_1748084545832::bib::765201,994283858405151,240971112,240971112,match
CEF_1012688_1748084545832::bib::766343,992402499005151,14582598,14582598,match
CEF_1012688_1748084545832::bib::767850,992878159105151,14188271,14188271,match
CEF_1012688_1748084545832::bib::769425,992862992905151,316736889,316736889,match
CEF_1012688_1748084545832::bib::770387,991535762205151,14932941,14932941,match
CEF_1012688_1748084545832::bib::771646,991964445005151,5675767,5675767,match
CEF_1012688_1748084545832::bib::773425,992882661705151,15700521,15700521,match
CEF_1012688_1748084545832::bib::774223,992861653305151,317671689,317671689,match
CEF_1012688_1748084545832::bib::7749,994538322505151,1456983456,1456983456,match
CEF_1012688_1748084545832::bib::775473,992431898805151,16038071,16038071,match
